Employee ID,First Name,Last Name,Gender,Age,Department,Job Title,Location,Hire Date,Salary,Education Level,Years of Service
EMP10083,Cody,Zimmerman,Female,47,Legal,Compliance Officer,Port Jessicaton,2017-03-01,48897.3,Bachelor's,6
EMP10084,Gregory,Matthews,Male,50,Customer Service,Call Center Agent,Lake Stevenborough,2021-07-29,137907.46,High School,0
EMP10085,Kendra,Mcdowell,Male,62,Logistics,Supply Chain Analyst,West Craig,2019-10-01,44843.18,Bachelor's,15
EMP10086,Joanna,Boyd,Non-binary,55,Operations,Project Coordinator,Cruzmouth,2020-08-14,130065.7,Bachelor's,6
EMP10087,Regina,Rojas,Female,40,Sales,Sales Representative,Duncanborough,2012-04-24,134991.22,High School,7
EMP10088,Adrienne,Jackson,Male,43,Sales,Business Development Officer,Port Lisamouth,2014-06-04,144656.07,High School,6
EMP10089,Sherry,Macdonald,Non-binary,28,HR,HR Manager,New Lisamouth,2007-09-15,54219.12,Master's,0
EMP10090,Dennis,Lopez,Non-binary,36,Operations,Process Analyst,New Lauren,2021-03-12,98335.24,Master's,12
EMP10091,Steven,Ochoa,Non-binary,65,Logistics,Supply Chain Analyst,South Jeremy,2018-11-29,134595.96,Master's,11
EMP10092,Barry,White,Non-binary,47,Customer Service,Client Relations Officer,North Brianport,2011-06-20,31177.74,High School,2
EMP10093,Alejandra,Ward,Non-binary,51,Customer Service,Support Specialist,South Victoria,2015-11-09,130715.41,PhD,4
EMP10094,David,Robbins,Non-binary,41,Logistics,Supply Chain Analyst,Oscarberg,2012-01-20,55589.39,Master's,0
EMP10095,Joyce,Richardson,Female,59,Customer Service,Support Specialist,Sarahmouth,2023-09-25,111160.61,Bachelor's,6
EMP10096,Richard,Foley,Female,22,Finance,Payroll Specialist,Carriemouth,2017-11-11,46982.0,PhD,18
EMP10097,Eric,Caldwell,Female,39,Customer Service,Customer Service Rep,Richardport,2006-11-21,121341.96,Bachelor's,3
EMP10098,Charles,Price,Non-binary,23,Customer Service,Client Relations Officer,Cassidyside,2010-05-02,99159.73,Master's,5
EMP10099,Jeffrey,Edwards,Male,47,Customer Service,Client Relations Officer,Carolynchester,2024-04-12,62546.92,High School,2
EMP10100,Katherine,Ramirez,Non-binary,39,R&D,Product Developer,New Amanda,2018-08-09,110287.4,Bachelor's,7
EMP10101,Danielle,Boyd,Female,21,Finance,Accountant,Port Lauren,2016-03-15,98941.32,Bachelor's,15
EMP10102,Nicole,Morgan,Non-binary,55,Customer Service,Support Specialist,Cohenview,2011-04-13,115650.49,Associate's,19
EMP10103,Luis,Henderson,Female,62,Legal,Compliance Officer,West Kim,2024-05-31,139465.71,High School,14
EMP10104,Karen,Moore,Male,45,R&D,Product Developer,Larsonburgh,2012-07-05,77579.85,PhD,2
EMP10105,Charles,Delacruz,Male,31,Operations,Operations Manager,West Justin,2023-08-15,71620.12,Master's,3
EMP10106,Jennifer,Jackson,Female,48,Legal,Corporate Lawyer,New Rebecca,2007-11-28,110742.76,Bachelor's,10
EMP10107,Andrew,Gray,Female,50,Finance,Financial Analyst,Kimberlyburgh,2023-06-09,126195.06,PhD,2
EMP10108,Daniel,Hood,Female,54,Logistics,Logistics Coordinator,Walkerfurt,2022-08-25,127686.73,High School,1
EMP10109,Charles,Lutz,Non-binary,44,Legal,Legal Assistant,New Mary,2014-05-02,148727.7,Associate's,4
EMP10110,Christopher,Tran,Female,21,Finance,Accountant,North Stephaniebury,2016-04-26,120386.02,PhD,18
EMP10111,Billy,Carson,Male,29,Logistics,Warehouse Supervisor,West Joshua,2015-03-04,52691.19,Bachelor's,1
EMP10112,Thomas,Key,Male,57,HR,Training Coordinator,Gibsontown,2007-01-05,144046.6,Associate's,11
EMP10113,Andrew,Ashley,Non-binary,27,Legal,Corporate Lawyer,Robertahaven,2021-06-12,137948.64,Associate's,15
EMP10114,Adam,Levine,Non-binary,56,HR,HR Assistant,West Katherine,2020-06-07,72416.32,High School,3
EMP10115,Brian,Perry,Male,47,Sales,Sales Executive,New Lesliehaven,2014-03-15,64981.95,High School,7
EMP10116,Jon,Williamson,Male,41,Operations,Process Analyst,Port Caroltown,2015-03-24,113835.08,Associate's,13
EMP10117,Shirley,Taylor,Non-binary,63,Customer Service,Customer Service Rep,East Matthew,2006-04-15,46110.8,PhD,2
EMP10118,Christopher,Brown,Female,57,Marketing,SEO Specialist,Wolfehaven,2012-12-17,102271.35,High School,17
EMP10119,Donald,Goodwin,Male,46,Legal,Corporate Lawyer,New Justinchester,2023-02-15,101228.18,Associate's,10
EMP10120,Danielle,Williams,Non-binary,59,HR,Recruiter,New Roberttown,2005-10-28,36368.11,Associate's,6
EMP10121,Andrew,Gutierrez,Female,53,Sales,Account Manager,Randyberg,2022-10-16,134694.83,Associate's,19
EMP10122,Renee,Boyer,Female,63,R&D,Lab Technician,Maddoxtown,2005-08-13,53818.97,PhD,12
EMP10123,Andrea,Ray,Female,62,IT,System Administrator,Harringtonview,2008-06-05,38726.6,Master's,14
EMP10124,Christine,Johnston,Female,55,Logistics,Inventory Manager,East Stephanieborough,2023-05-30,81477.28,Associate's,12
EMP10125,Sandra,Harris,Female,63,Operations,Process Analyst,Fischerville,2016-06-04,134702.21,Bachelor's,10
EMP10126,Casey,Simpson,Non-binary,37,Operations,Quality Assurance Specialist,South Teresaborough,2023-12-30,60089.07,Master's,20
EMP10127,Carl,Sanchez,Female,52,R&D,Product Developer,Duffyview,2021-12-31,127510.83,High School,18
EMP10128,Charles,Avila,Non-binary,55,Customer Service,Client Relations Officer,Kristinchester,2021-09-08,143440.48,Master's,7
EMP10129,Kelly,Wood,Non-binary,40,Sales,Account Manager,Hernandezton,2014-04-28,130785.37,Bachelor's,5
EMP10130,Laura,Peters,Female,40,HR,Training Coordinator,New Audrey,2024-09-15,120890.91,High School,0
EMP10131,Caleb,Valencia,Non-binary,34,Legal,Legal Assistant,Edwardsburgh,2025-05-13,50334.93,Master's,19
EMP10132,Samuel,Cooper,Female,32,Legal,Compliance Officer,Singhchester,2017-08-27,113292.65,High School,14
EMP10133,Monica,Vaughn,Male,54,Marketing,Content Strategist,Perryborough,2019-01-15,101301.22,PhD,0
EMP10134,William,Padilla,Non-binary,65,Legal,Paralegal,Port Elizabeth,2010-06-30,64659.12,Associate's,5
EMP10135,Theresa,Keith,Male,64,Legal,Compliance Officer,Davisstad,2010-06-21,96354.13,Master's,19
EMP10136,Heather,Crawford,Female,22,HR,Recruiter,Strongport,2012-06-29,115502.55,Master's,16
EMP10137,Jennifer,Smith,Male,22,HR,HR Manager,Ricardoshire,2010-10-20,113062.27,Associate's,15
EMP10138,Kimberly,Roth,Non-binary,22,Marketing,Marketing Coordinator,Robertsonfurt,2012-06-21,147581.99,High School,11
EMP10139,Valerie,Rivera,Male,34,Finance,Auditor,East Sethbury,2017-10-17,100693.17,PhD,7
EMP10140,Elizabeth,Jordan,Male,45,Logistics,Logistics Coordinator,South Brandon,2021-02-01,141200.2,Bachelor's,19
EMP10141,Christopher,Ochoa,Non-binary,62,Operations,Project Coordinator,Port Pamelaberg,2024-11-03,146525.11,Bachelor's,17
EMP10142,Audrey,Reynolds,Male,41,Legal,Paralegal,West Charleshaven,2014-02-23,76996.98,Associate's,4
EMP10143,Stephen,Carney,Male,38,Customer Service,Call Center Agent,Lake Susanberg,2008-03-26,116945.35,PhD,14
EMP10144,Sierra,Brown,Female,56,Legal,Paralegal,Jenniferburgh,2019-12-08,102787.15,Master's,14
EMP10145,Alexander,Butler,Male,30,Operations,Process Analyst,Lake Hunter,2017-03-10,42396.44,Bachelor's,7
EMP10146,Autumn,Mcintosh,Female,60,HR,Recruiter,Lake Juliefurt,2011-10-25,114001.68,Bachelor's,18
EMP10147,Holly,Floyd,Male,40,HR,Training Coordinator,East Jeremyfurt,2007-05-28,51199.33,High School,13
EMP10148,Eric,Simmons,Female,29,HR,HR Assistant,Lake Lisaside,2010-10-21,73646.15,PhD,12
EMP10149,Meredith,Williams,Non-binary,47,Marketing,Social Media Manager,New Kelsey,2024-12-28,31505.16,Bachelor's,19
EMP10150,Lynn,Osborn,Non-binary,47,R&D,Product Developer,Mckenziemouth,2024-12-15,129255.51,Associate's,5
EMP10151,Cynthia,Jones,Female,22,Sales,Sales Executive,Leahchester,2024-06-13,53841.76,High School,11
EMP10152,Angela,Cole,Female,47,IT,IT Support Specialist,South Michael,2016-09-21,117956.17,Associate's,2
EMP10153,Alexandra,Lawrence,Male,48,Logistics,Inventory Manager,Brianabury,2007-12-05,35820.89,Master's,19
EMP10154,Phillip,Mccullough,Female,24,Operations,Process Analyst,Jillville,2012-12-26,54441.06,Associate's,18
EMP10155,Robert,Boyd,Female,27,Customer Service,Client Relations Officer,West Benjamin,2010-12-18,61113.39,Bachelor's,7
EMP10156,Danielle,Adams,Female,23,Logistics,Warehouse Supervisor,Matthewshire,2017-08-25,48293.12,Bachelor's,5
EMP10157,Gavin,Smith,Female,32,Operations,Process Analyst,Margaretborough,2019-03-31,130866.86,Associate's,10
EMP10158,Michael,Smith,Male,57,R&D,Innovation Manager,Bradleybury,2017-07-23,30727.95,PhD,19
EMP10159,George,Blair,Male,33,Customer Service,Customer Service Rep,Lake Kimberlyfurt,2017-12-17,134919.84,Master's,15
EMP10160,Allison,Quinn,Male,49,Sales,Sales Executive,South Sonyaburgh,2023-07-08,107626.9,High School,9
EMP10161,Nancy,Hayes,Male,33,R&D,Innovation Manager,Davidshire,2015-03-04,58881.59,Bachelor's,19
EMP10162,Margaret,Martin,Male,44,R&D,Research Scientist,Jacquelineshire,2012-08-11,94547.25,High School,8
EMP10163,Kristin,Brown,Female,33,IT,IT Support Specialist,Port Nicholas,2019-09-01,128217.8,Bachelor's,11
EMP10164,Rita,Glover,Female,55,Logistics,Inventory Manager,Bellburgh,2018-09-03,102198.49,Master's,17
EMP10165,Sara,Schwartz,Female,39,Customer Service,Customer Service Rep,Hopkinsland,2017-08-30,52864.8,PhD,17
EMP10166,Katrina,Martinez,Non-binary,22,Marketing,Marketing Coordinator,Oliviamouth,2024-01-08,78029.12,Master's,10
EMP10167,Michael,Neal,Female,51,HR,HR Manager,Sparksport,2025-04-20,89972.56,High School,10
EMP10168,Lauren,Jones,Male,60,Logistics,Logistics Coordinator,Williamland,2012-12-18,127225.8,High School,16
EMP10169,Joshua,Roberts,Non-binary,55,Finance,Auditor,Littleborough,2012-06-19,140813.84,Associate's,13
EMP10170,Maria,Hall,Non-binary,31,HR,Recruiter,New Pamela,2013-04-28,79547.02,Bachelor's,2
EMP10171,Donald,Bell,Non-binary,58,Marketing,Content Strategist,Richardsonfort,2018-12-09,61521.74,PhD,6
EMP10172,Chad,Mendez,Male,50,Marketing,Content Strategist,Kevinland,2024-04-30,110615.71,Master's,14
EMP10173,Christopher,Frazier,Male,38,Logistics,Supply Chain Analyst,Hillport,2021-03-07,94153.45,High School,12
EMP10174,Michael,Green,Non-binary,58,IT,Software Engineer,New Darrell,2008-06-27,104104.71,Master's,4
EMP10175,Lisa,Powell,Female,64,Marketing,Marketing Coordinator,Lake Jennifer,2010-05-23,118023.49,Bachelor's,13
EMP10176,Denise,Ross,Male,36,HR,Training Coordinator,Millerport,2018-08-12,96913.52,PhD,1
EMP10177,James,Marsh,Non-binary,51,Marketing,Content Strategist,New Christopherfort,2025-04-15,93332.36,Master's,6
EMP10178,Dylan,Blanchard,Non-binary,32,IT,Data Analyst,Devonmouth,2011-11-14,45015.92,Associate's,15
EMP10179,Kevin,Chapman,Male,64,IT,Software Engineer,Hammondbury,2024-06-08,30807.57,Master's,17
EMP10180,Cody,Duncan,Non-binary,38,Marketing,Marketing Coordinator,New Angelachester,2021-09-03,51973.96,PhD,12
EMP10181,Lindsay,White,Male,26,Operations,Project Coordinator,Johnsonside,2017-06-06,60802.14,Master's,4
EMP10182,Helen,Wilson,Female,40,Legal,Legal Assistant,Friedmanburgh,2020-07-10,102950.69,Associate's,11
EMP10183,Shannon,Crawford,Male,21,IT,System Administrator,Nicholasside,2021-06-20,104455.34,Master's,9
EMP10184,Curtis,Vasquez,Male,50,HR,Recruiter,South Carolport,2007-12-11,144990.8,High School,10
EMP10185,Sean,White,Male,41,IT,System Administrator,Port Paulview,2015-08-13,132967.17,Bachelor's,7
EMP10186,Christina,Brandt,Male,43,HR,Training Coordinator,North Nicoleville,2022-04-20,145273.13,Bachelor's,16
EMP10187,Michael,Dawson,Non-binary,51,Legal,Legal Assistant,New Darryl,2011-07-09,145134.57,Master's,4
EMP10188,Leroy,Russell,Non-binary,34,HR,HR Assistant,Bridgetbury,2021-12-24,58846.17,Associate's,8
EMP10189,Keith,Flynn,Male,58,Sales,Account Manager,Charlesstad,2012-06-04,91332.44,Bachelor's,12
EMP10190,Corey,Valenzuela,Non-binary,39,Customer Service,Client Relations Officer,Santoschester,2024-01-06,46697.02,Associate's,7
EMP10191,Kristen,Knight,Male,60,Sales,Account Manager,West John,2024-09-12,98699.4,Master's,18
EMP10192,Andrea,Everett,Female,52,Marketing,Social Media Manager,New Laura,2009-05-10,123385.92,High School,4
EMP10193,Anna,Cooper,Female,36,IT,System Administrator,South Marcusmouth,2024-11-12,53669.01,PhD,0
EMP10194,Kevin,Aguilar,Female,34,Marketing,Social Media Manager,Robbinsmouth,2010-01-04,51003.6,Master's,14
EMP10195,Tara,Williams,Male,62,Customer Service,Support Specialist,Smithberg,2012-01-26,40095.64,Master's,5
EMP10196,Amanda,Patton,Non-binary,50,Marketing,SEO Specialist,West Adriantown,2008-09-22,70233.25,PhD,13
EMP10197,Gerald,Mcneil,Non-binary,37,Finance,Accountant,North Kimberlytown,2022-06-01,68427.08,Bachelor's,4
EMP10198,Wendy,Doyle,Male,60,IT,Software Engineer,West Veronica,2022-09-24,122389.47,PhD,5
EMP10199,Amanda,Hill,Male,28,Customer Service,Call Center Agent,West Jeffreyton,2020-09-19,80517.44,Associate's,17
EMP10200,Cassandra,Mays,Non-binary,58,R&D,Lab Technician,Mathewsport,2022-06-02,123215.69,Bachelor's,18
EMP10201,Lee,Miller,Female,42,HR,Training Coordinator,South Jessica,2014-01-12,119317.71,Master's,14
EMP10202,Christine,Mcgee,Non-binary,56,Finance,Financial Analyst,Port Janetview,2019-06-20,146608.92,Associate's,0
EMP10203,Andrea,Price,Male,24,Sales,Sales Executive,Christopherfort,2006-10-22,140467.75,Associate's,15
EMP10204,Paul,Martin,Female,55,Operations,Operations Manager,North Glennmouth,2006-11-27,89267.99,High School,9
EMP10205,Gabrielle,Douglas,Non-binary,25,Finance,Auditor,Clarkland,2014-07-05,44874.77,High School,0
EMP10206,Jerry,Palmer,Male,36,Sales,Sales Executive,West Brianbury,2023-01-31,51358.6,Master's,7
EMP10207,Kathy,Cruz,Male,47,Marketing,Content Strategist,Port Brandon,2023-03-02,33019.42,PhD,1
EMP10208,Peter,Juarez,Male,58,Customer Service,Call Center Agent,Lake Josephmouth,2008-01-21,77114.77,Master's,5
EMP10209,John,Morris,Male,48,Legal,Legal Assistant,South Meghan,2011-10-18,77855.36,Associate's,14
EMP10210,Tiffany,Bright,Non-binary,28,Logistics,Supply Chain Analyst,South Mirandaside,2010-05-02,121070.66,Associate's,15
EMP10211,Jeffery,Schmidt,Female,29,HR,HR Assistant,North Nathaniel,2009-06-18,146922.29,PhD,14
EMP10212,William,Berger,Male,57,Operations,Project Coordinator,Jennifermouth,2025-02-03,35433.66,High School,13
EMP10213,Hannah,Herrera,Male,27,Marketing,Marketing Coordinator,South Michaelland,2019-06-29,80694.78,PhD,7
EMP10214,Marcus,Powell,Male,48,HR,Recruiter,South Eric,2016-10-01,43743.12,Master's,6
EMP10215,Charles,Ballard,Female,22,Customer Service,Client Relations Officer,South Roberthaven,2009-09-23,85991.15,Bachelor's,5
EMP10216,Holly,Kelly,Non-binary,23,Marketing,SEO Specialist,Port Janiceside,2015-07-22,148536.24,PhD,13
EMP10217,Samuel,Bird,Female,37,Operations,Process Analyst,Garciaview,2013-09-10,110246.05,Master's,11
EMP10218,Samantha,Collins,Female,64,Logistics,Supply Chain Analyst,Richardbury,2006-03-12,64661.18,Master's,4
EMP10219,Jose,Butler,Non-binary,37,Marketing,Marketing Coordinator,Stevensland,2005-09-24,136135.32,Bachelor's,19
EMP10220,Stephanie,Cannon,Female,50,IT,Software Engineer,New Richard,2019-06-17,109958.93,Bachelor's,3
EMP10221,James,Williams,Male,59,Logistics,Logistics Coordinator,North Christopher,2024-06-11,149446.69,Associate's,0
EMP10222,Samuel,Hernandez,Female,49,HR,HR Assistant,West Adamville,2016-10-05,55300.71,Associate's,7
EMP10223,Darrell,Lopez,Female,65,Customer Service,Client Relations Officer,New Tinachester,2011-10-24,76767.34,PhD,3
EMP10224,Kimberly,Daniels,Female,63,R&D,Research Scientist,East Carlosshire,2014-10-20,46927.02,PhD,4
EMP10225,Jeffrey,Matthews,Female,37,IT,Data Analyst,Amandaburgh,2019-05-12,81351.62,Bachelor's,10
EMP10226,Melissa,Cortez,Non-binary,41,Legal,Paralegal,Jordanton,2013-10-08,105997.43,Associate's,12
EMP10227,Andrea,Reed,Non-binary,36,Legal,Paralegal,Maymouth,2006-11-21,108083.01,Bachelor's,12
EMP10228,Pamela,Parker,Female,53,IT,IT Support Specialist,North Christopher,2018-03-04,99202.19,PhD,11
EMP10229,Eric,Moran,Non-binary,39,Marketing,SEO Specialist,Lake Chadmouth,2012-03-04,88099.6,PhD,12
EMP10230,Jennifer,Smith,Male,63,IT,Software Engineer,Amandamouth,2015-06-26,146409.77,Associate's,18
EMP10231,Kim,Owen,Female,57,HR,HR Assistant,Keithville,2007-09-08,45080.75,High School,6
EMP10232,Aaron,Davis,Non-binary,53,Customer Service,Client Relations Officer,New Deborah,2010-01-08,92446.76,Master's,20
EMP10233,Ashley,Lamb,Female,24,Logistics,Supply Chain Analyst,Port Williamville,2017-03-15,63723.81,PhD,8
EMP10234,Stacy,Esparza,Male,32,Finance,Payroll Specialist,South Kevinmouth,2014-06-10,81725.17,Master's,16
EMP10235,Jessica,Sharp,Male,55,IT,Software Engineer,Jenniferstad,2017-04-23,109170.04,Associate's,16
